symbol,status
ETHBTC,TRADING
LTCBTC,TRADING
BNBBTC,TRADING
NEOBTC,TRADING
QTUMETH,TRADING
EOSETH,TRADING
SNTETH,TRADING
BNTETH,TRADING
BCCBTC,BREAK
GASBTC,TRADING
BNBETH,TRADING
BTCUSDT,TRADING
ETHUSDT,TRADING
HSRBTC,BREAK
OAXETH,BREAK
DNTETH,BREAK
MCOETH,BREAK
ICNETH,BREAK
MCOBTC,BREAK
WTCBTC,TRADING
WTCETH,BREAK
LRCBTC,TRADING
LRCETH,TRADING
QTUMBTC,TRADING
YOYOBTC,TRADING
OMGBTC,TRADING
OMGETH,TRADING
ZRXBTC,TRADING
ZRXETH,TRADING
STRATBTC,BREAK
STRATETH,BREAK
SNGLSBTC,TRADING
SNGLSETH,BREAK
BQXBTC,TRADING
BQXETH,TRADING
KNCBTC,TRADING
KNCETH,TRADING
FUNBTC,TRADING
FUNETH,TRADING
SNMBTC,TRADING
SNMETH,BREAK
NEOETH,TRADING
IOTABTC,TRADING
IOTAETH,TRADING
LINKBTC,TRADING
LINKETH,TRADING
XVGBTC,TRADING
XVGETH,TRADING
SALTBTC,BREAK
SALTETH,BREAK
MDABTC,TRADING
MDAETH,BREAK
MTLBTC,TRADING
MTLETH,TRADING
SUBBTC,BREAK
SUBETH,BREAK
EOSBTC,TRADING
SNTBTC,TRADING
ETCETH,TRADING
ETCBTC,TRADING
MTHBTC,TRADING
MTHETH,BREAK
ENGBTC,BREAK
ENGETH,BREAK
DNTBTC,TRADING
ZECBTC,TRADING
ZECETH,TRADING
BNTBTC,TRADING
ASTBTC,TRADING
ASTETH,BREAK
DASHBTC,TRADING
DASHETH,TRADING
OAXBTC,TRADING
ICNBTC,BREAK
BTGBTC,TRADING
BTGETH,BREAK
EVXBTC,TRADING
EVXETH,BREAK
REQBTC,TRADING
REQETH,BREAK
VIBBTC,TRADING
VIBETH,TRADING
HSRETH,BREAK
TRXBTC,TRADING
TRXETH,TRADING
POWRBTC,TRADING
POWRETH,TRADING
ARKBTC,TRADING
ARKETH,BREAK
YOYOETH,BREAK
XRPBTC,TRADING
XRPETH,TRADING
MODBTC,BREAK
MODETH,BREAK
ENJBTC,TRADING
ENJETH,TRADING
STORJBTC,TRADING
STORJETH,BREAK
BNBUSDT,TRADING
VENBNB,BREAK
YOYOBNB,BREAK
POWRBNB,BREAK
VENBTC,BREAK
VENETH,BREAK
KMDBTC,TRADING
KMDETH,TRADING
NULSBNB,BREAK
RCNBTC,TRADING
RCNETH,BREAK
RCNBNB,BREAK
NULSBTC,TRADING
NULSETH,BREAK
RDNBTC,TRADING
RDNETH,BREAK
RDNBNB,BREAK
XMRBTC,TRADING
XMRETH,TRADING
DLTBNB,BREAK
WTCBNB,TRADING
DLTBTC,TRADING
DLTETH,BREAK
AMBBTC,TRADING
AMBETH,BREAK
AMBBNB,BREAK
BCCETH,BREAK
BCCUSDT,BREAK
BCCBNB,BREAK
BATBTC,TRADING
BATETH,TRADING
BATBNB,TRADING
BCPTBTC,TRADING
BCPTETH,BREAK
BCPTBNB,BREAK
ARNBTC,BREAK
ARNETH,BREAK
GVTBTC,TRADING
GVTETH,BREAK
CDTBTC,TRADING
CDTETH,TRADING
GXSBTC,TRADING
GXSETH,TRADING
NEOUSDT,TRADING
NEOBNB,TRADING
POEBTC,BREAK
POEETH,BREAK
QSPBTC,TRADING
QSPETH,TRADING
QSPBNB,BREAK
BTSBTC,TRADING
BTSETH,BREAK
BTSBNB,BREAK
XZCBTC,BREAK
XZCETH,BREAK
XZCBNB,BREAK
LSKBTC,TRADING
LSKETH,TRADING
LSKBNB,BREAK
TNTBTC,BREAK
TNTETH,BREAK
FUELBTC,BREAK
FUELETH,BREAK
MANABTC,TRADING
MANAETH,TRADING
BCDBTC,TRADING
BCDETH,BREAK
DGDBTC,BREAK
DGDETH,BREAK
IOTABNB,TRADING
ADXBTC,TRADING
ADXETH,TRADING
ADXBNB,BREAK
ADABTC,TRADING
ADAETH,TRADING
PPTBTC,TRADING
PPTETH,BREAK
CMTBTC,BREAK
CMTETH,TRADING
CMTBNB,BREAK
XLMBTC,TRADING
XLMETH,TRADING
XLMBNB,TRADING
CNDBTC,TRADING
CNDETH,BREAK
CNDBNB,BREAK
LENDBTC,BREAK
LENDETH,BREAK
WABIBTC,TRADING
WABIETH,BREAK
WABIBNB,TRADING
LTCETH,TRADING
LTCUSDT,TRADING
LTCBNB,TRADING
TNBBTC,TRADING
TNBETH,BREAK
WAVESBTC,TRADING
WAVESETH,TRADING
WAVESBNB,TRADING
GTOBTC,TRADING
GTOETH,BREAK
GTOBNB,BREAK
ICXBTC,TRADING
ICXETH,TRADING
ICXBNB,TRADING
OSTBTC,TRADING
OSTETH,TRADING
OSTBNB,BREAK
ELFBTC,TRADING
ELFETH,TRADING
AIONBTC,TRADING
AIONETH,TRADING
AIONBNB,BREAK
NEBLBTC,TRADING
NEBLETH,TRADING
NEBLBNB,BREAK
BRDBTC,TRADING
BRDETH,TRADING
