Actual Time, Return Status, Trade Time, Price 
1612732183.987312,200,1612732183707,38574.36000000
1612732213.8824792,200,1612732213658,38536.44000000
1612732243.8875246,200,1612732243594,38508.90000000
1612732273.7871954,200,1612732273339,38479.41000000
1612732303.7935293,200,1612732303624,38437.66000000
1612732333.8048203,200,1612732333586,38455.00000000
1612732363.8182843,200,1612732363313,38467.15000000
1612732393.7335165,200,1612732393510,38478.02000000
1612732423.9089863,200,1612732423661,38479.25000000
1612732453.737554,200,1612732453330,38477.44000000
1612732483.9183352,200,1612732483730,38450.00000000
1612732513.8159757,200,1612732513581,38462.48000000
1612732543.8203707,200,1612732543654,38437.68000000
1612732573.8253396,200,1612732573272,38428.86000000
1612732603.932395,200,1612732603356,38407.10000000
1612732633.8305075,200,1612732633607,38400.29000000
1612732663.8365502,200,1612732663380,38396.03000000
1612732693.7357903,200,1612732693339,38375.73000000
1612732723.7410097,200,1612732723305,38408.53000000
1612732754.43627,200,1612732753846,38407.20000000
1612732783.8517222,200,1612732783584,38424.89000000
1612732813.8537462,200,1612732813447,38443.74000000
1612732843.8589199,200,1612732843319,38464.24000000
1612732873.8635948,200,1612732873391,38461.17000000
1612732903.870018,200,1612732903631,38461.19000000
1612732933.76478,200,1612732933375,38450.01000000
1612732963.8779786,200,1612732963682,38449.76000000
1612732993.7746017,200,1612732993513,38469.62000000
1612733023.7782807,200,1612733023523,38438.90000000
1612733053.77977,200,1612733053574,38440.98000000
1612733083.8883812,200,1612733083454,38444.23000000
1612733113.7955682,200,1612733113537,38424.13000000
1612733143.796171,200,1612733143483,38443.93000000
1612733173.8027155,200,1612733173414,38452.22000000
1612733203.8002017,200,1612733203559,38427.14000000
1612733233.8040519,200,1612733233550,38434.15000000
1612733263.8054001,200,1612733263296,38406.06000000
1612733294.2205505,200,1612733293902,38428.92000000
1612733323.9156713,200,1612733323550,38421.30000000
1612733353.8234854,200,1612733353569,38415.54000000
1612733383.923881,200,1612733383632,38428.40000000
1612733413.832401,200,1612733413550,38434.21000000
1612733443.829733,200,1612733443080,38432.41000000
1612733473.833714,200,1612733473311,38420.00000000
1612733503.8365269,200,1612733503365,38432.34000000
1612733534.2486932,200,1612733533944,38440.10000000
1612733563.84687,200,1612733563612,38449.99000000
1612733593.744026,200,1612733593591,38450.10000000
1612733623.8494997,200,1612733623518,38430.00000000
1612733654.2625053,200,1612733653915,38445.83000000
1612733683.7538466,200,1612733683317,38441.42000000
1612733713.8647428,200,1612733713576,38432.51000000
1612733743.862232,200,1612733743643,38440.14000000
1612733773.767069,200,1612733773533,38456.68000000
1612733803.7676547,200,1612733803298,38466.86000000
1612733833.7713382,200,1612733832631,38457.02000000
1612733863.7782521,200,1612733863505,38446.57000000
1612733893.882623,200,1612733893212,38468.57000000
1612733923.7797396,200,1612733923607,38482.08000000
1612733953.7840095,200,1612733953520,38545.23000000
1612733983.7884166,200,1612733983594,38575.00000000
1612734013.8932126,200,1612734013530,38539.31000000
1612734043.7957563,200,1612734043609,38527.62000000
1612734073.7984385,200,1612734073316,38506.89000000
1612734103.8027067,200,1612734103189,38485.66000000
1612734133.8052,200,1612734133477,38587.02000000
1612734163.8086507,200,1612734163602,38610.00000000
1612734193.8104115,200,1612734193570,38551.05000000
1612734223.8137035,200,1612734223609,38545.46000000
1612734253.9229805,200,1612734253555,38552.76000000
1612734283.8230677,200,1612734283156,38531.00000000
1612734313.8253667,200,1612734313618,38524.78000000
1612734343.8315341,200,1612734342598,38522.69000000
1612734373.8355021,200,1612734373574,38514.00000000
1612734403.8367403,200,1612734403449,38530.54000000
1612734433.8398886,200,1612734433499,38517.46000000
1612734463.8432076,200,1612734463568,38505.56000000
1612734493.8479023,200,1612734493549,38514.06000000
1612734523.8559926,200,1612734523569,38483.40000000
1612734553.7512443,200,1612734553441,38530.00000000
1612734583.7562149,200,1612734583197,38519.98000000
1612734613.760065,200,1612734613500,38558.93000000
1612734643.86925,200,1612734643627,38468.23000000
1612734673.766575,200,1612734673538,38502.18000000
1612734704.1794875,200,1612734703996,38495.94000000
1612734733.7749314,200,1612734733541,38529.67000000
1612734763.8836308,200,1612734763650,38523.39000000
1612734793.7806907,200,1612734793536,38549.99000000
1612734823.7859383,200,1612734823608,38572.43000000
1612734853.786541,200,1612734853636,38628.44000000
1612734883.8961275,200,1612734883487,38589.59000000
1612734913.7955065,200,1612734913617,38591.08000000
1612734943.7991939,200,1612734943276,38567.42000000
1612734973.8012698,200,1612734973511,38543.08000000
1612735003.8043478,200,1612735003292,38521.80000000
1612735033.8164253,200,1612735033564,38562.66000000
1612735063.8119097,200,1612735063471,38546.58000000
1612735093.8148813,200,1612735093271,38563.50000000
1612735123.8180816,200,1612735123381,38558.92000000
1612735153.7977788,200,1612735153612,38562.58000000
1612735183.8262563,200,1612735183612,38534.58000000
1612735213.8303711,200,1612735213500,38535.02000000
1612735243.8418417,200,1612735243459,38480.51000000
1612735273.8444204,200,1612735273609,38520.92000000
1612735303.8406093,200,1612735303437,38489.96000000
1612735333.8442752,200,1612735333407,38487.50000000
1612735364.2571218,200,1612735363958,38425.96000000
1612735393.749425,200,1612735393603,38455.59000000
1612735423.8558815,200,1612735423630,38437.34000000
1612735453.7582257,200,1612735453598,38474.24000000
1612735483.8628445,200,1612735483463,38468.49000000
1612735513.765524,200,1612735513173,38481.35000000
1612735543.7665126,200,1612735543254,38477.62000000
1612735573.772832,200,1612735573617,38487.45000000
1612735603.8763733,200,1612735603313,38472.77000000
1612735633.7785437,200,1612735633597,38517.95000000
1612735663.7836044,200,1612735663553,38503.62000000
1612735693.787254,200,1612735693575,38521.85000000
1612735723.7917137,200,1612735723446,38550.81000000
1612735753.7943654,200,1612735753532,38524.34000000
